bill_no,line_no,product_code,qty,unit_price,line_type,ts
S01/20240111/00001,1,P101248,5,458.95,SALE,2024-01-11T15:29:44
S01/20240111/00001,2,P108046,1,95.35,SALE,2024-01-11T15:29:44
S01/20240111/00001,3,P107555,4,1399.95,SALE,2024-01-11T15:29:44
S01/20240111/00001,4,P100582,3,150.30,SALE,2024-01-11T15:29:44
S01/20240111/00001,5,P107178,1,294.44,SALE,2024-01-11T15:29:44
S01/20240111/00001,6,TAX,1,546.71,TAX,2024-01-11T15:29:44
S01/20240111/00001,7,TENDER,1,9281.95,TENDER,2024-01-11T15:29:44
S01/20240111/00002,1,P105219,-2,653.26,RETURN,2024-01-11T10:38:08
S01/20240111/00002,2,P107843,-3,440.95,RETURN,2024-01-11T10:38:08
S01/20240111/00002,3,P102324,-4,194.59,RETURN,2024-01-11T10:38:08
S01/20240111/00002,4,P103178,-2,21.49,RETURN,2024-01-11T10:38:08
S01/20240111/00002,5,P101864,-2,101.95,RETURN,2024-01-11T10:38:08
S01/20240111/00002,6,TAX,1,-556.64,TAX,2024-01-11T10:38:08
S01/20240111/00002,7,TENDER,1,-4211.25,TENDER,2024-01-11T10:38:08
S01/20240111/00003,1,P100711,3,91.95,SALE,2024-01-11T16:44:50
S01/20240111/00003,2,P102947,1,59.21,SALE,2024-01-11T16:44:50
S01/20240111/00003,3,P106659,1,88.95,SALE,2024-01-11T16:44:50
S01/20240111/00003,4,P104487,3,359.81,SALE,2024-01-11T16:44:50
S01/20240111/00003,5,P103281,4,163.32,SALE,2024-01-11T16:44:50
S01/20240111/00003,6,P107996,3,211.95,SALE,2024-01-11T16:44:50
S01/20240111/00003,7,P105733,2,133.95,SALE,2024-01-11T16:44:50
S01/20240111/00003,8,P104688,2,178.09,SALE,2024-01-11T16:44:50
S01/20240111/00003,9,TAX,1,405.27,TAX,2024-01-11T16:44:50
S01/20240111/00003,10,TENDER,1,3821.92,TENDER,2024-01-11T16:44:50
S01/20240111/00004,1,P106027,1,1436.61,SALE,2024-01-11T17:53:21
S01/20240111/00004,2,P100686,1,787.42,SALE,2024-01-11T17:53:21
S01/20240111/00004,3,P104168,3,512.27,SALE,2024-01-11T17:53:21
S01/20240111/00004,4,P107242,1,589.95,SALE,2024-01-11T17:53:21
S01/20240111/00004,5,P108001,2,87.00,SALE,2024-01-11T17:53:21
S01/20240111/00004,6,TAX,1,106.34,TAX,2024-01-11T17:53:21
S01/20240111/00004,7,TENDER,1,4631.13,TENDER,2024-01-11T17:53:21
S01/20240111/00005,1,P100140,2,57.95,SALE,2024-01-11T13:03:06
S01/20240111/00005,2,P101599,1,387.95,SALE,2024-01-11T13:03:06
S01/20240111/00005,3,P102389,1,73.06,SALE,2024-01-11T13:03:06
S01/20240111/00005,4,P104202,3,132.95,SALE,2024-01-11T13:03:06
S01/20240111/00005,5,P100816,1,742.63,SALE,2024-01-11T13:03:06
S01/20240111/00005,6,P103806,2,305.95,SALE,2024-01-11T13:03:06
S01/20240111/00005,7,TAX,1,192.96,TAX,2024-01-11T13:03:06
S01/20240111/00005,8,TENDER,1,2523.25,TENDER,2024-01-11T13:03:06
S01/20240111/00006,1,P105003,3,285.67,SALE,2024-01-11T14:12:21
S01/20240111/00006,2,P102074,2,415.90,SALE,2024-01-11T14:12:21
S01/20240111/00006,3,P105227,4,259.95,SALE,2024-01-11T14:12:21
S01/20240111/00006,4,DISC,1,-83.91,DISCOUNT,2024-01-11T14:12:21
S01/20240111/00006,5,TAX,1,310.77,TAX,2024-01-11T14:12:21
S01/20240111/00006,6,TENDER,1,2955.47,TENDER,2024-01-11T14:12:21
S01/20240111/00007,1,P107178,2,294.44,SALE,2024-01-11T15:58:15
S01/20240111/00007,2,P105394,3,335.45,SALE,2024-01-11T15:58:15
S01/20240111/00007,3,P100509,2,143.38,SALE,2024-01-11T15:58:15
S01/20240111/00007,4,P102067,2,144.78,SALE,2024-01-11T15:58:15
S01/20240111/00007,5,TAX,1,280.62,TAX,2024-01-11T15:58:15
S01/20240111/00007,6,TENDER,1,2452.17,TENDER,2024-01-11T15:58:15
S01/20240111/00008,1,P100511,2,407.54,SALE,2024-01-11T12:56:57
S01/20240111/00008,2,P105440,2,107.89,SALE,2024-01-11T12:56:57
S01/20240111/00008,3,P107542,1,163.06,SALE,2024-01-11T12:56:57
S01/20240111/00008,4,P107733,2,55.17,SALE,2024-01-11T12:56:57
S01/20240111/00008,5,TAX,1,114.12,TAX,2024-01-11T12:56:57
S01/20240111/00008,6,TENDER,1,1418.38,TENDER,2024-01-11T12:56:57
S01/20240111/00009,1,P102471,2,137.95,SALE,2024-01-11T13:31:57
S01/20240111/00009,2,P102103,1,345.70,SALE,2024-01-11T13:31:57
S01/20240111/00009,3,P102933,3,614.03,SALE,2024-01-11T13:31:57
S01/20240111/00009,4,P105575,2,430.13,SALE,2024-01-11T13:31:57
