bill_no;line_no;item_code;quantity;rate;type;txn_time
S06/20240124/00001;1;P100140;2;57.95;SALE;24-01-2024 11:17:24
S06/20240124/00001;2;P106934;1;1554.16;SALE;24-01-2024 11:17:24
S06/20240124/00001;3;P101052;3;198.99;SALE;24-01-2024 11:17:24
S06/20240124/00001;4;P102913;5;317.07;SALE;24-01-2024 11:17:24
S06/20240124/00001;5;TAX;1;318.56;TAX;24-01-2024 11:17:24
S06/20240124/00001;6;TENDER;1;4170.94;TENDER;24-01-2024 11:17:24
S06/20240124/00002;1;P100577;3;277.95;SALE;24-01-2024 20:38:14
S06/20240124/00002;2;P104155;2;137.26;SALE;24-01-2024 20:38:14
S06/20240124/00002;3;P100649;3;592.52;SALE;24-01-2024 20:38:14
S06/20240124/00002;4;P102311;1;284.95;SALE;24-01-2024 20:38:14
S06/20240124/00002;5;TAX;1;253.22;TAX;24-01-2024 20:38:14
S06/20240124/00002;6;TENDER;1;3424.10;TENDER;24-01-2024 20:38:14
S06/20240124/00003;1;P102788;3;871.07;SALE;24-01-2024 22:50:10
S06/20240124/00003;2;P102833;1;644.60;SALE;24-01-2024 22:50:10
S06/20240124/00003;3;P100418;3;204.95;SALE;24-01-2024 22:50:10
S06/20240124/00003;4;P100066;2;251.22;SALE;24-01-2024 22:50:10
S06/20240124/00003;5;TAX;1;253.33;TAX;24-01-2024 22:50:10
S06/20240124/00003;6;TENDER;1;4628.43;TENDER;24-01-2024 22:50:10
S06/20240124/00004;1;P103647;3;37.95;SALE;24-01-2024 14:19:10
S06/20240124/00004;2;P104401;3;208.95;SALE;24-01-2024 14:19:10
S06/20240124/00004;3;P108191;3;301.95;SALE;24-01-2024 14:19:10
S06/20240124/00004;4;P105698;2;177.90;SALE;24-01-2024 14:19:10
S06/20240124/00004;5;TAX;1;184.56;TAX;24-01-2024 14:19:10
S06/20240124/00004;6;TENDER;1;2186.91;TENDER;24-01-2024 14:19:10
S06/20240124/00005;1;P101481;1;42.95;SALE;24-01-2024 14:17:21
S06/20240124/00005;2;P102874;1;123.94;SALE;24-01-2024 14:17:21
S06/20240124/00005;3;P103606;1;178.05;SALE;24-01-2024 14:17:21
S06/20240124/00005;4;P103249;2;521.24;SALE;24-01-2024 14:17:21
S06/20240124/00005;5;DISC;1;-86.59;DISCOUNT;24-01-2024 14:17:21
S06/20240124/00005;6;TAX;1;65.04;TAX;24-01-2024 14:17:21
S06/20240124/00005;7;TENDER;1;1365.87;TENDER;24-01-2024 14:17:21
S06/20240124/00006;1;P105075;2;46.35;SALE;24-01-2024 18:47:44
S06/20240124/00006;2;P107278;1;51.95;SALE;24-01-2024 18:47:44
S06/20240124/00006;3;P106473;2;296.95;SALE;24-01-2024 18:47:44
S06/20240124/00006;4;P105313;2;51.83;SALE;24-01-2024 18:47:44
S06/20240124/00006;5;TAX;1;129.82;TAX;24-01-2024 18:47:44
S06/20240124/00006;6;TENDER;1;972.03;TENDER;24-01-2024 18:47:44
S06/20240124/00007;1;P104831;1;1472.59;SALE;24-01-2024 16:03:56
S06/20240124/00007;2;P106323;4;206.95;SALE;24-01-2024 16:03:56
S06/20240124/00007;3;P100233;4;62.93;SALE;24-01-2024 16:03:56
