ts,bill_no,line_no,line_type,product_code,unit_price,qty
1718386702,S10/20240614/00001,1,SALE,P102593,92.93,3
1718386702,S10/20240614/00001,2,SALE,P102640,241.34,3
1718386702,S10/20240614/00001,3,SALE,P102954,122.32,1
1718386702,S10/20240614/00001,4,SALE,P102230,340.01,2
1718386702,S10/20240614/00001,5,TAX,TAX,317.59,1
1718386702,S10/20240614/00001,6,TENDER,TENDER,2122.74,1
1718387937,S10/20240614/00002,1,SALE,P101899,345.29,2
1718387937,S10/20240614/00002,2,SALE,P106584,248.90,2
1718387937,S10/20240614/00002,3,SALE,P101122,70.14,2
1718387937,S10/20240614/00002,4,SALE,P102835,101.19,2
1718387937,S10/20240614/00002,5,SALE,P106158,564.54,3
1718387937,S10/20240614/00002,6,TAX,TAX,258.52,1
1718387937,S10/20240614/00002,7,TENDER,TENDER,3483.18,1
1718381019,S10/20240614/00003,1,SALE,P107520,137.21,1
1718381019,S10/20240614/00003,2,SALE,P100693,111.45,1
1718381019,S10/20240614/00003,3,SALE,P107217,279.38,3
1718381019,S10/20240614/00003,4,SALE,P105997,109.75,3
1718381019,S10/20240614/00003,5,DISCOUNT,DISC,-86.04,1
1718381019,S10/20240614/00003,6,TAX,TAX,135.21,1
1718381019,S10/20240614/00003,7,TENDER,TENDER,1465.22,1
1718381130,S10/20240614/00004,1,SALE,P100150,280.80,2
1718381130,S10/20240614/00004,2,SALE,P104226,303.01,1
1718381130,S10/20240614/00004,3,SALE,P101225,452.38,2
1718381130,S10/20240614/00004,4,SALE,P103654,481.76,2
1718381130,S10/20240614/00004,5,SALE,P101164,401.86,2
1718381130,S10/20240614/00004,6,SALE,P102913,347.82,2
1718381130,S10/20240614/00004,7,SALE,P106865,299.72,3
1718381130,S10/20240614/00004,8,DISCOUNT,DISC,-178.71,1
1718381130,S10/20240614/00004,9,TAX,TAX,554.80,1
1718381130,S10/20240614/00004,10,TENDER,TENDER,5507.50,1
1718391455,S10/20240614/00005,1,SALE,P106234,78.81,1
1718391455,S10/20240614/00005,2,SALE,P107933,1175.95,2
1718391455,S10/20240614/00005,3,SALE,P105797,254.07,3
1718391455,S10/20240614/00005,4,SALE,P107094,87.94,1
1718391455,S10/20240614/00005,5,SALE,P102779,25.62,3
1718391455,S10/20240614/00005,6,TAX,TAX,453.94,1
1718391455,S10/20240614/00005,7,TENDER,TENDER,3811.66,1
1718383223,S10/20240614/00006,1,SALE,P102857,116.85,3
1718383223,S10/20240614/00006,2,SALE,P104316,406.45,1
1718383223,S10/20240614/00006,3,SALE,P107253,232.65,2
1718383223,S10/20240614/00006,4,TAX,TAX,136.26,1
1718383223,S10/20240614/00006,5,TENDER,TENDER,1358.56,1
1718367573,S10/20240614/00007,1,SALE,P105603,202.29,2
1718367573,S10/20240614/00007,2,SALE,P106353,233.29,2
1718367573,S10/20240614/00007,3,TAX,TAX,156.81,1
1718367573,S10/20240614/00007,4,TENDER,TENDER,1027.97,1
1718362361,S10/20240614/00008,1,SALE,P103620,468.18,1
