ts,bill_no,line_no,line_type,product_code,unit_price,qty
1728735575,S11/20241012/00001,1,SALE,P105112,194.64,2
1728735575,S11/20241012/00001,2,SALE,P108374,1417.29,2
1728735575,S11/20241012/00001,3,SALE,P108076,144.05,2
1728735575,S11/20241012/00001,4,TAX,TAX,71.32,1
1728735575,S11/20241012/00001,5,TENDER,TENDER,3583.28,1
1728756805,S11/20241012/00002,1,SALE,P103927,206.11,1
1728756805,S11/20241012/00002,2,SALE,P101827,139.26,3
1728756805,S11/20241012/00002,3,SALE,P102184,91.57,1
1728756805,S11/20241012/00002,4,TAX,TAX,47.68,1
1728756805,S11/20241012/00002,5,TENDER,TENDER,763.14,1
1728753226,S11/20241012/00003,1,SALE,P102845,261.08,2
1728753226,S11/20241012/00003,2,SALE,P102933,610.87,2
1728753226,S11/20241012/00003,3,SALE,P105092,57.00,3
1728753226,S11/20241012/00003,4,SALE,P102868,471.29,2
1728753226,S11/20241012/00003,5,SALE,P100959,320.67,1
1728753226,S11/20241012/00003,6,DISCOUNT,DISC,-273.70,1
1728753226,S11/20241012/00003,7,TAX,TAX,393.77,1
1728753226,S11/20241012/00003,8,TENDER,TENDER,3298.22,1
1728724712,S11/20241012/00004,1,SALE,P107266,69.30,5
1728724712,S11/20241012/00004,2,SALE,P105672,69.48,4
1728724712,S11/20241012/00004,3,SALE,P102772,151.97,3
1728724712,S11/20241012/00004,4,SALE,P104485,643.04,2
1728724712,S11/20241012/00004,5,SALE,P106024,472.89,2
1728724712,S11/20241012/00004,6,TAX,TAX,364.69,1
1728724712,S11/20241012/00004,7,TENDER,TENDER,3676.88,1
1728757404,S11/20241012/00005,1,SALE,P102389,84.91,3
1728757404,S11/20241012/00005,2,SALE,P102114,134.74,1
1728757404,S11/20241012/00005,3,SALE,P103922,51.00,4
1728757404,S11/20241012/00005,4,SALE,P108125,129.06,2
1728757404,S11/20241012/00005,5,SALE,P105227,292.54,2
1728757404,S11/20241012/00005,6,SALE,P103822,594.96,1
1728757404,S11/20241012/00005,7,TAX,TAX,266.61,1
1728757404,S11/20241012/00005,8,TENDER,TENDER,2298.24,1
1728752555,S11/20241012/00006,1,SALE,P104389,169.98,2
1728752555,S11/20241012/00006,2,SALE,P106830,103.94,2
1728752555,S11/20241012/00006,3,SALE,P101810,793.98,4
1728752555,S11/20241012/00006,4,SALE,P101648,334.22,3
1728752555,S11/20241012/00006,5,SALE,P105929,11.18,1
1728752555,S11/20241012/00006,6,TAX,TAX,531.87,1
1728752555,S11/20241012/00006,7,TENDER,TENDER,5269.47,1
1728756726,S11/20241012/00007,1,SALE,P107621,119.64,2
1728756726,S11/20241012/00007,2,SALE,P101622,272.35,2
1728756726,S11/20241012/00007,3,SALE,P103188,30.16,3
1728756726,S11/20241012/00007,4,SALE,P105246,840.69,4
1728756726,S11/20241012/00007,5,TAX,TAX,211.66,1
1728756726,S11/20241012/00007,6,TENDER,TENDER,4448.88,1
1728769391,S11/20241012/00008,1,SALE,P100604,154.60,1
1728769391,S11/20241012/00008,2,SALE,P100869,62.15,2
1728769391,S11/20241012/00008,3,SALE,P102219,780.86,3
1728769391,S11/20241012/00008,4,SALE,P107686,347.22,2
1728769391,S11/20241012/00008,5,SALE,P108302,855.55,2
1728769391,S11/20241012/00008,6,TAX,TAX,342.60,1
1728769391,S11/20241012/00008,7,TENDER,TENDER,5369.62,1
1728752298,S11/20241012/00009,1,SALE,P106297,174.87,1
1728752298,S11/20241012/00009,2,SALE,P105479,231.41,2
1728752298,S11/20241012/00009,3,SALE,P106731,153.24,3
1728752298,S11/20241012/00009,4,SALE,P103188,31.97,1
1728752298,S11/20241012/00009,5,SALE,P102874,142.11,4
1728752298,S11/20241012/00009,6,SALE,P107056,341.76,3
1728752298,S11/20241012/00009,7,SALE,P103328,236.27,3
1728752298,S11/20241012/00009,8,SALE,P102042,151.18,2
1728752298,S11/20241012/00009,9,SALE,P103864,540.44,1
1728752298,S11/20241012/00009,10,TAX,TAX,496.63,1
1728752298,S11/20241012/00009,11,TENDER,TENDER,4771.34,1
1728741681,S11/20241012/00010,1,SALE,P103206,450.05,1
1728741681,S11/20241012/00010,2,SALE,P104765,401.36,1
1728741681,S11/20241012/00010,3,TAX,TAX,129.17,1
1728741681,S11/20241012/00010,4,TENDER,TENDER,980.58,1
1728752621,S11/20241012/00011,1,SALE,P102389,84.91,3
1728752621,S11/20241012/00011,2,SALE,P107520,139.81,1
1728752621,S11/20241012/00011,3,SALE,P106506,125.80,1
1728752621,S11/20241012/00011,4,SALE,P106731,153.24,3
1728752621,S11/20241012/00011,5,SALE,P104774,81.81,1
1728752621,S11/20241012/00011,6,SALE,P106158,507.58,3
1728752621,S11/20241012/00011,7,TAX,TAX,155.71,1
1728752621,S11/20241012/00011,8,TENDER,TENDER,2740.32,1
1728756426,S11/20241012/00012,1,SALE,P101796,990.67,3
1728756426,S11/20241012/00012,2,SALE,P107178,298.69,5
1728756426,S11/20241012/00012,3,SALE,P103328,236.27,1
1728756426,S11/20241012/00012,4,SALE,P106464,271.59,5
1728756426,S11/20241012/00012,5,SALE,P106317,485.55,4
1728756426,S11/20241012/00012,6,TAX,TAX,766.36,1
1728756426,S11/20241012/00012,7,TENDER,TENDER,8768.24,1
1728749212,S11/20241012/00013,1,SALE,P105838,594.50,2
1728749212,S11/20241012/00013,2,SALE,P100348,513.95,2
1728749212,S11/20241012/00013,3,TAX,TAX,51.40,1
1728749212,S11/20241012/00013,4,TENDER,TENDER,2268.30,1
1728739591,S11/20241012/00014,1,SALE,P104462,86.38,3
1728739591,S11/20241012/00014,2,SALE,P108275,504.53,2
1728739591,S11/20241012/00014,3,SALE,P107721,92.25,2
1728739591,S11/20241012/00014,4,SALE,P102559,86.19,2
1728739591,S11/20241012/00014,5,SALE,P102947,59.21,1
1728739591,S11/20241012/00014,6,TAX,TAX,203.21,1
1728739591,S11/20241012/00014,7,TENDER,TENDER,1887.50,1
1728752439,S11/20241012/00015,1,SALE,P104285,683.70,2
1728752439,S11/20241012/00015,2,SALE,P105236,552.60,4
1728752439,S11/20241012/00015,3,SALE,P102640,270.61,1
