bill_no,line_no,product_code,qty,unit_price,line_type,ts
S04/20241106/00001,1,P101090,1,24.06,SALE,2024-11-06T20:42:23
S04/20241106/00001,2,P106975,1,143.78,SALE,2024-11-06T20:42:23
S04/20241106/00001,3,P100649,1,618.96,SALE,2024-11-06T20:42:23
S04/20241106/00001,4,P103050,2,569.48,SALE,2024-11-06T20:42:23
S04/20241106/00001,5,P106478,2,56.12,SALE,2024-11-06T20:42:23
S04/20241106/00001,6,P106858,1,281.23,SALE,2024-11-06T20:42:23
S04/20241106/00001,7,P108101,2,1603.81,SALE,2024-11-06T20:42:23
S04/20241106/00001,8,P107733,1,56.44,SALE,2024-11-06T20:42:23
S04/20241106/00001,9,DISC,1,-160.07,DISCOUNT,2024-11-06T20:42:23
S04/20241106/00001,10,TAX,1,490.65,TAX,2024-11-06T20:42:23
S04/20241106/00001,11,TENDER,1,5913.87,TENDER,2024-11-06T20:42:23
S04/20241106/00002,1,P102230,3,335.39,SALE,2024-11-06T20:37:58
S04/20241106/00002,2,P102656,2,194.33,SALE,2024-11-06T20:37:58
S04/20241106/00002,3,P107943,1,252.32,SALE,2024-11-06T20:37:58
S04/20241106/00002,4,P105127,1,77.13,SALE,2024-11-06T20:37:58
S04/20241106/00002,5,P103822,3,630.66,SALE,2024-11-06T20:37:58
S04/20241106/00002,6,P105827,2,124.38,SALE,2024-11-06T20:37:58
S04/20241106/00002,7,TAX,1,602.81,TAX,2024-11-06T20:37:58
S04/20241106/00002,8,TENDER,1,4467.83,TENDER,2024-11-06T20:37:58
S04/20241106/00003,1,P102035,3,493.95,SALE,2024-11-06T16:44:25
S04/20241106/00003,2,P106191,2,1230.97,SALE,2024-11-06T16:44:25
S04/20241106/00003,3,P102230,2,335.39,SALE,2024-11-06T16:44:25
S04/20241106/00003,4,P101305,1,114.22,SALE,2024-11-06T16:44:25
S04/20241106/00003,5,P105789,1,42.75,SALE,2024-11-06T16:44:25
S04/20241106/00003,6,P106858,1,281.23,SALE,2024-11-06T16:44:25
S04/20241106/00003,7,P101592,2,295.58,SALE,2024-11-06T16:44:25
S04/20241106/00003,8,P101237,2,278.87,SALE,2024-11-06T16:44:25
S04/20241106/00003,9,TAX,1,447.05,TAX,2024-11-06T16:44:25
S04/20241106/00003,10,TENDER,1,6648.72,TENDER,2024-11-06T16:44:25
S04/20241106/00004,1,P107458,3,1239.88,SALE,2024-11-06T18:44:15
S04/20241106/00004,2,P100840,1,248.08,SALE,2024-11-06T18:44:15
S04/20241106/00004,3,P102230,1,335.39,SALE,2024-11-06T18:44:15
S04/20241106/00004,4,TAX,1,105.02,TAX,2024-11-06T18:44:15
S04/20241106/00004,5,TENDER,1,4408.13,TENDER,2024-11-06T18:44:15
S04/20241106/00005,1,P106452,1,31.15,SALE,2024-11-06T09:02:39
S04/20241106/00005,2,P105453,1,465.18,SALE,2024-11-06T09:02:39
S04/20241106/00005,3,P106757,2,387.95,SALE,2024-11-06T09:02:39
S04/20241106/00005,4,P105784,2,116.81,SALE,2024-11-06T09:02:39
S04/20241106/00005,5,P104316,2,489.63,SALE,2024-11-06T09:02:39
S04/20241106/00005,6,TAX,1,300.35,TAX,2024-11-06T09:02:39
S04/20241106/00005,7,TENDER,1,2785.46,TENDER,2024-11-06T09:02:39
S04/20241106/00006,1,P105882,3,222.02,SALE,2024-11-06T18:19:01
S04/20241106/00006,2,P106282,3,448.43,SALE,2024-11-06T18:19:01
S04/20241106/00006,3,P101968,1,12.46,SALE,2024-11-06T18:19:01
S04/20241106/00006,4,P104072,4,708.34,SALE,2024-11-06T18:19:01
S04/20241106/00006,5,P103382,2,196.46,SALE,2024-11-06T18:19:01
S04/20241106/00006,6,TAX,1,525.60,TAX,2024-11-06T18:19:01
S04/20241106/00006,7,TENDER,1,5775.69,TENDER,2024-11-06T18:19:01
S04/20241106/00007,1,P102255,1,167.76,SALE,2024-11-06T11:35:39
S04/20241106/00007,2,P107960,2,1191.78,SALE,2024-11-06T11:35:39
S04/20241106/00007,3,P102546,1,74.67,SALE,2024-11-06T11:35:39
S04/20241106/00007,4,P102290,1,587.69,SALE,2024-11-06T11:35:39
S04/20241106/00007,5,P101419,3,202.93,SALE,2024-11-06T11:35:39
S04/20241106/00007,6,P103050,1,569.48,SALE,2024-11-06T11:35:39
S04/20241106/00007,7,P105677,2,105.01,SALE,2024-11-06T11:35:39
S04/20241106/00007,8,P103397,3,371.02,SALE,2024-11-06T11:35:39
S04/20241106/00007,9,TAX,1,480.85,TAX,2024-11-06T11:35:39
S04/20241106/00007,10,TENDER,1,6195.88,TENDER,2024-11-06T11:35:39
S04/20241106/00008,1,P104708,4,487.33,SALE,2024-11-06T15:06:50
S04/20241106/00008,2,P107686,2,347.22,SALE,2024-11-06T15:06:50
S04/20241106/00008,3,P105819,2,66.64,SALE,2024-11-06T15:06:50
S04/20241106/00008,4,TAX,1,246.46,TAX,2024-11-06T15:06:50
S04/20241106/00008,5,TENDER,1,3023.50,TENDER,2024-11-06T15:06:50
S04/20241106/00009,1,P103701,2,1171.33,SALE,2024-11-06T18:19:13
S04/20241106/00009,2,P103855,3,322.11,SALE,2024-11-06T18:19:13
S04/20241106/00009,3,P104149,2,88.07,SALE,2024-11-06T18:19:13
S04/20241106/00009,4,P101570,3,299.33,SALE,2024-11-06T18:19:13
S04/20241106/00009,5,P103600,3,107.84,SALE,2024-11-06T18:19:13
S04/20241106/00009,6,P104831,1,1516.75,SALE,2024-11-06T18:19:13
S04/20241106/00009,7,P102103,4,400.89,SALE,2024-11-06T18:19:13
S04/20241106/00009,8,P106344,1,801.30,SALE,2024-11-06T18:19:13
S04/20241106/00009,9,TAX,1,894.47,TAX,2024-11-06T18:19:13
S04/20241106/00009,10,TENDER,1,9522.72,TENDER,2024-11-06T18:19:13
S04/20241106/00010,1,P107266,1,71.89,SALE,2024-11-06T15:45:40
S04/20241106/00010,2,P103542,2,438.78,SALE,2024-11-06T15:45:40
S04/20241106/00010,3,P108001,1,96.97,SALE,2024-11-06T15:45:40
S04/20241106/00010,4,P104554,1,437.01,SALE,2024-11-06T15:45:40
S04/20241106/00010,5,TAX,1,161.34,TAX,2024-11-06T15:45:40
S04/20241106/00010,6,TENDER,1,1644.77,TENDER,2024-11-06T15:45:40
S04/20241106/00011,1,P106534,2,96.00,SALE,2024-11-06T14:23:43
S04/20241106/00011,2,P100035,1,1810.38,SALE,2024-11-06T14:23:43
S04/20241106/00011,3,P104909,1,363.10,SALE,2024-11-06T14:23:43
S04/20241106/00011,4,P101766,1,220.67,SALE,2024-11-06T14:23:43
S04/20241106/00011,5,P106207,3,564.89,SALE,2024-11-06T14:23:43
S04/20241106/00011,6,TAX,1,583.33,TAX,2024-11-06T14:23:43
S04/20241106/00011,7,TENDER,1,4864.15,TENDER,2024-11-06T14:23:43
S04/20241106/00012,1,P103886,2,312.24,SALE,2024-11-06T15:23:41
S04/20241106/00012,2,P103022,2,60.43,SALE,2024-11-06T15:23:41
S04/20241106/00012,3,P107217,2,293.45,SALE,2024-11-06T15:23:41
S04/20241106/00012,4,TAX,1,84.93,TAX,2024-11-06T15:23:41
S04/20241106/00012,5,TENDER,1,1417.17,TENDER,2024-11-06T15:23:41
S04/20241106/00013,1,P106735,2,320.99,SALE,2024-11-06T20:04:38
S04/20241106/00013,2,P104986,3,221.68,SALE,2024-11-06T20:04:38
S04/20241106/00013,3,P103839,3,213.95,SALE,2024-11-06T20:04:38
S04/20241106/00013,4,P105643,3,1294.23,SALE,2024-11-06T20:04:38
S04/20241106/00013,5,P100652,1,45.46,SALE,2024-11-06T20:04:38
S04/20241106/00013,6,TAX,1,358.98,TAX,2024-11-06T20:04:38
S04/20241106/00013,7,TENDER,1,6236.00,TENDER,2024-11-06T20:04:38
S04/20241106/00014,1,P100677,2,256.17,SALE,2024-11-06T08:24:24
S04/20241106/00014,2,P101272,2,96.70,SALE,2024-11-06T08:24:24
S04/20241106/00014,3,P107119,2,18.29,SALE,2024-11-06T08:24:24
S04/20241106/00014,4,DISC,1,-74.79,DISCOUNT,2024-11-06T08:24:24
S04/20241106/00014,5,TAX,1,97.55,TAX,2024-11-06T08:24:24
S04/20241106/00014,6,TENDER,1,765.08,TENDER,2024-11-06T08:24:24
S04/20241106/00015,1,P105784,1,116.81,SALE,2024-11-06T15:18:59
S04/20241106/00015,2,P102181,1,1615.15,SALE,2024-11-06T15:18:59
S04/20241106/00015,3,P107449,3,1495.62,SALE,2024-11-06T15:18:59
S04/20241106/00015,4,P100077,2,173.95,SALE,2024-11-06T15:18:59
S04/20241106/00015,5,P107119,1,18.29,SALE,2024-11-06T15:18:59
S04/20241106/00015,6,P104676,1,87.52,SALE,2024-11-06T15:18:59
S04/20241106/00015,7,P104593,1,867.34,SALE,2024-11-06T15:18:59
S04/20241106/00015,8,P102122,3,138.84,SALE,2024-11-06T15:18:59
S04/20241106/00015,9,P102886,2,139.22,SALE,2024-11-06T15:18:59
S04/20241106/00015,10,P107996,3,224.54,SALE,2024-11-06T15:18:59
S04/20241106/00015,11,TAX,1,801.52,TAX,2024-11-06T15:18:59
S04/20241106/00015,12,TENDER,1,9709.97,TENDER,2024-11-06T15:18:59
