bill_no;line_no;item_code;quantity;rate;type;txn_time
S08/20241104/00001;1;P103214;1;283.38;SALE;04-11-2024 16:09:34
S08/20241104/00001;2;P103743;2;1117.90;SALE;04-11-2024 16:09:34
S08/20241104/00001;3;P108050;1;1166.49;SALE;04-11-2024 16:09:34
S08/20241104/00001;4;P103068;3;153.43;SALE;04-11-2024 16:09:34
S08/20241104/00001;5;P104501;2;413.53;SALE;04-11-2024 16:09:34
S08/20241104/00001;6;TAX;1;95.51;TAX;04-11-2024 16:09:34
S08/20241104/00001;7;TENDER;1;5068.53;TENDER;04-11-2024 16:09:34
S08/20241104/00002;1;P100904;1;68.79;SALE;04-11-2024 19:18:23
S08/20241104/00002;2;P107246;3;313.74;SALE;04-11-2024 19:18:23
S08/20241104/00002;3;P106512;3;467.07;SALE;04-11-2024 19:18:23
S08/20241104/00002;4;P106093;1;315.93;SALE;04-11-2024 19:18:23
S08/20241104/00002;5;P102516;1;1272.67;SALE;04-11-2024 19:18:23
S08/20241104/00002;6;P101465;2;573.89;SALE;04-11-2024 19:18:23
S08/20241104/00002;7;P102296;2;48.88;SALE;04-11-2024 19:18:23
S08/20241104/00002;8;P100991;4;173.46;SALE;04-11-2024 19:18:23
S08/20241104/00002;9;P103231;3;241.80;SALE;04-11-2024 19:18:23
S08/20241104/00002;10;TAX;1;830.72;TAX;04-11-2024 19:18:23
S08/20241104/00002;11;TENDER;1;7495.32;TENDER;04-11-2024 19:18:23
S08/20241104/00003;1;P101095;1;205.38;SALE;04-11-2024 18:59:15
S08/20241104/00003;2;P106802;1;739.16;SALE;04-11-2024 18:59:15
S08/20241104/00003;3;P103999;2;120.61;SALE;04-11-2024 18:59:15
S08/20241104/00003;4;P104121;1;131.32;SALE;04-11-2024 18:59:15
S08/20241104/00003;5;P102480;1;198.67;SALE;04-11-2024 18:59:15
S08/20241104/00003;6;TAX;1;82.59;TAX;04-11-2024 18:59:15
S08/20241104/00003;7;TENDER;1;1598.34;TENDER;04-11-2024 18:59:15
S08/20241104/00004;1;P107330;5;134.92;SALE;04-11-2024 13:34:16
S08/20241104/00004;2;P105009;1;65.38;SALE;04-11-2024 13:34:16
S08/20241104/00004;3;P103792;1;25.06;SALE;04-11-2024 13:34:16
S08/20241104/00004;4;P101117;3;208.14;SALE;04-11-2024 13:34:16
S08/20241104/00004;5;TAX;1;134.45;TAX;04-11-2024 13:34:16
S08/20241104/00004;6;TENDER;1;1523.91;TENDER;04-11-2024 13:34:16
S08/20241104/00005;1;P101603;2;962.35;SALE;04-11-2024 16:12:00
S08/20241104/00005;2;P105827;2;124.38;SALE;04-11-2024 16:12:00
S08/20241104/00005;3;P103525;3;252.51;SALE;04-11-2024 16:12:00
S08/20241104/00005;4;P107848;1;267.41;SALE;04-11-2024 16:12:00
S08/20241104/00005;5;TAX;1;294.65;TAX;04-11-2024 16:12:00
S08/20241104/00005;6;TENDER;1;3493.05;TENDER;04-11-2024 16:12:00
S08/20241104/00006;1;P100362;3;282.80;SALE;04-11-2024 11:22:07
S08/20241104/00006;2;P107110;4;77.73;SALE;04-11-2024 11:22:07
S08/20241104/00006;3;TAX;1;55.97;TAX;04-11-2024 11:22:07
S08/20241104/00006;4;TENDER;1;1215.29;TENDER;04-11-2024 11:22:07
S08/20241104/00007;1;P107662;2;330.01;SALE;04-11-2024 17:40:52
S08/20241104/00007;2;P100819;2;1109.59;SALE;04-11-2024 17:40:52
S08/20241104/00007;3;P106885;2;137.92;SALE;04-11-2024 17:40:52
S08/20241104/00007;4;P102664;3;261.47;SALE;04-11-2024 17:40:52
S08/20241104/00007;5;P107422;2;193.56;SALE;04-11-2024 17:40:52
S08/20241104/00007;6;P106934;1;1604.94;SALE;04-11-2024 17:40:52
S08/20241104/00007;7;TAX;1;329.00;TAX;04-11-2024 17:40:52
S08/20241104/00007;8;TENDER;1;6260.51;TENDER;04-11-2024 17:40:52
S08/20241104/00008;1;P102114;5;134.74;SALE;04-11-2024 19:53:47
S08/20241104/00008;2;P104072;1;708.34;SALE;04-11-2024 19:53:47
S08/20241104/00008;3;P102404;1;370.32;SALE;04-11-2024 19:53:47
S08/20241104/00008;4;P102342;2;107.02;SALE;04-11-2024 19:53:47
S08/20241104/00008;5;P100255;2;1250.31;SALE;04-11-2024 19:53:47
S08/20241104/00008;6;DISC;1;-142.50;DISCOUNT;04-11-2024 19:53:47
S08/20241104/00008;7;TAX;1;212.81;TAX;04-11-2024 19:53:47
S08/20241104/00008;8;TENDER;1;4537.33;TENDER;04-11-2024 19:53:47
S08/20241104/00009;1;P105280;2;220.35;SALE;04-11-2024 11:31:21
S08/20241104/00009;2;P101489;4;555.59;SALE;04-11-2024 11:31:21
S08/20241104/00009;3;P103743;2;1117.90;SALE;04-11-2024 11:31:21
